1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
2	0
0	0
2	1
8	0
10	0
9	0
7	0
5	1
14	0
11	1
22	0
19	1
30	0
27	1
55	1
50	4
58	11
57	4
73	1
71	7
68	3
40	1
49	7
70	3
122	11
107	11
130	11
64	10
91	3
99	4
74	10
97	4
116	7
102	8
125	0
136	1
259	3
281	5
121	2
170	4
191	2
163	2
237	4
122	6
190	3
139	1
168	2
55	1
132	4
69	3
102	2
146	1
160	2
174	1
150	5
166	2
189	2
140	0
163	3
199	0
153	2
218	0
137	0
94	0
95	2
45	0
89	2
129	0
82	0
71	1
110	1
78	2
121	1
74	1
27	1
99	1
45	2
24	0
42	0
71	0
69	2
27	1
26	0
33	1
56	0
81	2
68	0
80	0
73	0
78	0
135	2
71	1
29	0
81	1
74	0
101	0
92	0
46	0
66	1
77	0
539	0
212	0
138	1
195	0
172	0
563	2
431	1
295	1
244	2
175	1
238	4
243	3
103	0
333	1
319	1
534	2
393	3
164	2
228	3
164	2
308	0
249	1
214	2
203	5
191	5
161	2
165	2
283	4
181	1
289	5
221	4
326	3
180	4
220	5
302	7
570	7
811	6
633	8
609	9
500	11
826	7
1046	12
1063	7
693	14
522	15
659	19
1021	16
1283	18
1144	14
1018	12
1345	19
1230	18
826	18
1132	17
1499	23
1241	28
1306	27
1776	21
1472	26
1069	23
1245	33
1510	29
1325	32
1609	42
1565	42
1537	30
903	32
1276	35
1336	29
1221	27
1404	41
1567	26
1343	33
1191	30
1191	43
1672	32
1402	37
1750	39
1555	37
2234	32
1386	33
1941	33
2157	26
1889	38
2430	33
2238	29
2251	25
1517	36
2121	34
1692	38
2488	28
