0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	0
0	0
0	0
1	1
0	0
1	1
0	0
0	1
2	0
1	1
1	1
1	4
3	11
0	4
2	1
1	7
10	3
2	1
4	7
26	3
9	11
6	11
10	11
12	10
4	3
12	4
13	10
24	4
31	7
26	8
14	0
12	1
20	3
32	5
33	2
13	4
23	2
43	2
24	4
39	6
30	3
51	1
56	2
102	1
83	4
150	3
56	2
99	1
173	2
182	1
215	5
185	2
179	2
162	0
145	3
137	0
93	2
257	0
180	0
140	0
179	2
90	0
87	2
173	0
98	0
143	1
197	1
182	2
97	1
261	1
95	1
41	1
107	2
97	0
217	0
76	0
141	2
58	1
434	0
517	1
456	0
329	2
73	0
47	0
47	0
44	0
85	2
72	1
18	0
35	1
78	0
69	0
63	0
109	0
56	1
48	0
76	0
106	0
61	1
82	0
41	0
61	2
61	1
156	1
67	2
17	1
93	4
87	3
106	0
94	1
70	1
169	2
396	3
448	2
466	3
677	2
131	0
380	1
238	2
218	5
651	5
508	2
379	2
144	4
395	1
260	5
301	4
211	3
257	4
247	5
236	7
228	7
182	6
156	8
115	9
513	11
59	7
186	12
347	7
302	14
475	15
533	19
661	16
365	18
559	14
995	12
642	19
1157	18
1177	18
861	17
292	23
1010	28
957	27
922	21
778	26
597	23
1061	33
574	29
1230	32
1393	42
841	42
1303	30
1135	32
815	35
2293	29
1315	27
1148	41
1569	26
1737	33
1240	30
1327	43
1435	32
866	37
1260	39
1446	37
1345	32
822	33
1625	33
2484	26
2127	38
2344	33
1673	29
1661	25
1442	36
2077	34
1921	38
1962	28
